status_url,from_user,user_lang,user_followers_count,user_friends_count,imagepresent,grade,institution,indication,findings,mi,ti
https://twitter.com/allanmix/status/683684088394461184,allanmix,,1416,705,1,4,NaN,visualloss,postdetach,0.15,0
https://twitter.com/DrShukla14/status/1053328728930041857,DrShukla14,,556,224,1,4,NaN,NaN,glaucoma,1.2,0.3
https://twitter.com/OSUultrasound/status/901428970201260032,OSUultrasound,,496,54,1,NaN,fellow,NaN,postdetach,0.2,0
https://twitter.com/emuss_uk/status/879965031479332865,emuss_uk,,1626,59,1,NaN,fellow,visualloss,postdetach,0.7,0.1
https://twitter.com/nobleultrasound/status/530459475577413632,nobleultrasound,,4270,71,1,5,NaN,NaN,normal,0.9,NaN
https://twitter.com/lawrencehaines/status/841735791084736514,lawrencehaines,,759,293,1,5,NaN,trauma,lensdis,1,0.1
https://twitter.com/SonoSerious/status/722178465106104320,SonoSerious,,781,998,1,5,NaN,visualloss,postdetach,0.2,0
https://twitter.com/jadeseguin1/status/692729864353378304,jadeseguin1,,241,64,1,5,NaN,visualloss,papil,0.8,0
https://twitter.com/salazar_gil_tx/status/1036800456935260165,salazar_gil_tx,,125,228,1,5,NaN,visualloss,postdetach,0.13,NaN
https://twitter.com/MagGau1/status/888135775086358528,MagGau1,,161,112,1,NaN,NaN,NaN,papil,0.8,0
https://twitter.com/RGEM82/status/768663472829759488,RGEM82,,692,1627,1,NaN,NaN,visualloss,postdetach,NaN,NaN
https://twitter.com/DrShukla14/status/730741241193844736,DrShukla14,,556,224,1,4,Nan,pain,papil,0.6,0.2
https://twitter.com/WUSTL_US/status/1051283577353228288,WUSTL_US,,85,116,1,NaN,Fellow,pain,postdetach,1.1,
,,,,,,,,,,,
