status_url,from_user,user_lang,user_followers_count,user_friends_count,imagepresent,grade,institution,indication,findings,mi,ti
https://twitter.com/SonoCrew/status/1105114993396277254,SonoCrew,,90,316,1,NaN,Fellow,visualloss,postdetach,0.13,0
https://twitter.com/EM_RESUS/status/911696793183846403,EM_RESUS,,29800,155,1,5,NaN,nan,normal,NaN,NaN
https://twitter.com/andyglittle/status/977479555043741696,andyglittle,,1260,799,1,NaN,NaN,visualloss,postdetach,Nan,Nan
https://twitter.com/jeff_sono/status/1060547818732040194,jeff_sono,,1371,502,1,NaN,Fellow,NaN,Nan,0.9,NaN
https://twitter.com/SonoStache/status/1011723871932706817,SonoStache,,1318,148,1,NaN,Fellow,pain,foreign,NaN,Nan
https://twitter.com/SAlerhand/status/1097934920218017794,SAlerhand,,615,377,1,4,NaN,pain,papil,NaN,Nan
https://twitter.com/aartisarwal/status/1096841488300789761,aartisarwal,,1167,585,1,4,NaN,NaN,NaN,NaN,Nan
https://twitter.com/VivetaLobo/status/1089792732367794176,VivetaLobo,,350,118,1,5,NaN,trauma,rupture,1.3,0.3
https://twitter.com/mackendc/status/1083494743550685194,mackendc,,267,157,1,5,NaN,visualloss,drusen,NaN,Nan
https://twitter.com/JStowens/status/1081417469703716864,JStowens,,314,384,1,4,NaN,NaN,postdetach,NaN,NaN
https://twitter.com/emuss_uk/status/983044351751311360,emuss_uk,,1626,59,1,Nan,Fellow,NaN,pap,NaN,NaN
https://twitter.com/EMCases/status/1004129498684690432,EMCases,,7667,441,1,5,NaN,NaN,NaN,NaN,NaN
https://twitter.com/eabramsMD/status/1002210788067639296,eabramsMD,,872,360,1,4,NaN,visualloss,vithaem,0.13,0
https://twitter.com/emuss_uk/status/1002105968682037248,emuss_uk,,1626,59,1,NaN,Fellow,NaN,NaN,NaN,NaN
https://twitter.com/WUSTL_EM/status/989208007719432193,WUSTL_EM,,2123,524,1,NaN,Fellow,NaN,postdetach,NaN,NaN
https://twitter.com/raghu_venugopal/status/943354807611424769,raghu_venugopal,,275,200,1,NaN,NaN,trauma,lensdis,NaN,NaN
https://twitter.com/Yale_EUS/status/915321422070902784,Yale_EUS,,4672,92,1,NaN,Fellow,NaN,NaN,NaN,NaN
https://twitter.com/trigeminy_henry/status/850863381955399680,trigeminy_henry,,717,1553,1,NaN,NaN,NaN,NaN,NaN,NaN
https://twitter.com/NagdevArun/status/841905215485956097,NagdevArun,,1818,253,1,5,NaN,pain,papil,NaN,NaN
https://twitter.com/lawrencehaines/status/841735791084736514,lawrencehaines,,759,293,1,5,NaN,trauma,lensdis,1,0.1
https://twitter.com/jchristianfox/status/819946974547820544,jchristianfox,,3028,174,1,5,NaN,NaN,postdetach,NaN,NaN
https://twitter.com/jchristianfox/status/810986204040753154,jchristianfox,,3028,174,1,5,NaN,proptosis,abscess,NaN,NaN
https://twitter.com/User238345/status/800659023259455488,User238345,,751,472,1,4,NaN,NaN,postdetach,NaN,NaN
https://twitter.com/jchristianfox/status/788936312527007745,jchristianfox,,3028,174,1,5,NaN,NaN,postdetach,NaN,NaN
https://twitter.com/UBemSono/status/686628884654256128,UBemSono,,1369,484,1,NaN,Fellow,NaN,papil,NaN,NaN
https://twitter.com/ALiEMteam/status/633625264988291072,ALiEMteam,,15900,76,1,NaN,Fellow,visualloss,postdetach,NaN,NaN
https://twitter.com/emdocsdotnet/status/682199761252958208,emdocsdotnet,,7048,13,1,NaN,Fellow,NaN,NaN,NaN,Nan
https://twitter.com/CriticalCareNow/status/430784192692359168,CriticalCareNow,,20900,184,1,5,NaN,NaN,NaN,NaN,NaN
